Crop,Symptoms,Expected Disease,Predicted Disease,Severity,Confidence Score,Cause,Match Type,Accuracy (%),Organic Treatment,Chemical Treatment,Immediate Action,Prevention
Canola,"ash-gray lesions with black pepper-like pycnidia on leaves, stem canker near soil line causing lodging",Blackleg,Blackleg,Severe,0.95,Phoma lingam (fungus),Exact,100.0,"Implement a strict crop rotation with non-brassica species, Deep plowing to bury infected crop residue, Increasing plant spacing to improve airflow and reduce humidity","Application of triazole fungicides, Application of strobilurin fungicides during early growth stages",Monitor field for lodging and minimize nitrogen fertilization to prevent excessive canopy density.,"Use of certified resistant canola varieties, Maintain 3-5 year crop rotation cycles, Avoid excessive soil moisture through improved drainage, Minimize mechanical wounding of stems during cultivation"
Cantaloupe,"white powdery fungal spots on leaves and petioles, premature leaf death, sunburned fruit",Powdery Mildew,Powdery Mildew,Severe,0.95,"Fungal pathogens, typically Podosphaera xanthii or Golovinomyces cichoracearum",Exact,100.0,"Neem oil sprays, Potassium bicarbonate applications, Sulfur-based fungicides, Milk-based foliar sprays (ratio of 1:9 milk to water)","Myclobutanil, Azoxystrobin, Fenbuconazole",Prune and carefully remove heavily infected leaves to reduce spore dispersal; provide temporary shade to exposed fruit to prevent further sunburn.,"Ensure adequate plant spacing to improve airflow, Avoid overhead irrigation to prevent excessive leaf moisture, Plant resistant cultivars, Practice crop rotation to break the fungal life cycle, Maintain proper nitrogen levels to prevent overly lush, susceptible growth"
Carrot,"dark brown, water-soaked spots on leaf margins, yellowing and curling of leaf segments",Alternaria Leaf Blight,Alternaria Leaf Blight,Moderate,0.88,Fungal pathogen Alternaria dauci,Exact,100.0,"Copper-based fungicides, Neem oil spray, Biological control agents like Bacillus subtilis","Chlorothalonil, Mancozeb, Azoxystrobin",Prune and remove heavily infected foliage immediately; avoid overhead watering to prevent spore dispersal; increase airflow around plants.,"Implement a 3-year crop rotation cycle, Use certified disease-free seeds, Avoid excessive nitrogen fertilization which promotes lush, susceptible growth, Ensure proper plant spacing to improve ventilation"
Cassava,"brown leaf spots with distinct borders, premature defoliation in lower canopy",Brown Leaf Spot,Cercospora Leaf Spot,Moderate,0.88,Fungal pathogen Cercospora species,Partial,0.0,"Removal and destruction of infected plant debris, Application of neem oil, Crop rotation with non-host species","Copper-based fungicides, Mancozeb applications",Prune and destroy heavily infected lower leaves to reduce spore concentration and improve canopy airflow.,"Use of certified disease-free stem cuttings, Maintaining optimal plant spacing to promote air circulation, Avoiding overhead irrigation to minimize leaf wetness, Implementing regular field sanitation"
Cassava,"angular, water-soaked leaf spots, wilting and defoliation, gum exudate on stems",Cassava Bacterial Blight,Cassava Bacterial Blight (CBB),Severe,0.95,Xanthomonas axonopodis pv. manihotis,Exact,100.0,"Roguing and destruction of infected plants, Use of disease-free stem cuttings, Crop rotation with non-host crops","Application of copper-based bactericides, Streptomycin-based bactericides (subject to local regulations)",Immediately remove and burn all plants showing symptoms of gum exudate and leaf spots to prevent bacterial spread via wind and rain.,"Use certified, pathogen-free planting materials, Implement strict field sanitation and hygiene, Avoid excessive nitrogenous fertilization which promotes succulent growth susceptible to bacteria, Improve plant spacing to enhance airflow and reduce humidity"
Cassava,"bright yellow mosaic patches on leaves, leaf distortion and curling, stunted growth",Cassava Mosaic Disease,Cassava Mosaic Disease (CMD),Severe,0.98,Begomoviruses (Gemini viruses) transmitted by the whitefly (Bemisia tabaci).,Exact,100.0,"Rogueing: Immediate removal and destruction of infected plants, Use of disease-free stem cuttings, Intercropping with non-host plants to reduce whitefly movement","Application of systemic insecticides (e.g., Imidacloprid) to control whitefly vectors, Use of Neem-based sprays as a natural deterrent",Identify and destroy all symptomatic plants immediately to prevent the viral load from spreading to healthy crops via whiteflies.,"Use only certified, virus-free planting materials, Implement strict crop rotation cycles, Planting CMD-resistant cassava varieties, Regular field monitoring for whitefly populations"
Cherry,"small purple spots on leaves that turn brown and drop out, leaving clean shot-holes",Cherry Leaf Spot,Shot Hole Disease,Moderate,0.95,Fungal pathogen Wilsonomyces carpophilus,Mismatch,0.0,"Copper-based fungicides, Neem oil, Pruning of heavily infected limbs","Captan, Mancozeb, Thiram",Sanitize tools after pruning and remove all fallen leaves from the base of the tree.,"Improve air circulation through strategic pruning, Avoid overhead watering to keep leaves dry, Apply dormant copper sprays in late winter, Keep the orchard floor free of fallen fruit and leaves"
Citrus,"raised, corky, brown lesions with oily margins on leaves and fruit, surrounding yellow halos",Citrus Canker,Citrus Canker,Severe,0.98,Xanthomonas citri subsp. citri (bacterium),Exact,100.0,"Copper-based fungicides, Pruning and destruction of infected plant tissue, Removal of symptomatic fruit","Copper hydroxide sprays, Copper oxychloride, Streptomycin (where legally permitted for agricultural use)","Remove and destroy all symptomatic leaves, fruit, and branches immediately to prevent further bacterial spread via wind and rain.","Use only certified disease-free planting material, Control citrus leaf miner populations to prevent entry wounds, Maintain strict sanitation and hygiene in orchards, Avoid wounding tree bark and leaves during pruning or harvesting"
Citrus,"yellow shoots, mottled leaves (asymmetrical chlorosis), small lopsided bitter fruit with green bottom",Citrus Greening,Citrus Greening (Huanglongbing/HLB),Critical,0.98,"Candidatus Liberibacter asiaticus bacterium, transmitted by the Asian citrus psyllid (Diaphorina citri).",Exact,100.0,"Complete removal and destruction of infected trees to prevent further spread, Biological control using parasitoid wasps like Tamarixia radiata to manage psyllid populations","Systemic insecticides (e.g., Imidacloprid or Thiamethoxam) to control the psyllid vector, Copper-based sprays to manage secondary fungal infections",Remove and burn or deeply bury all symptomatic trees immediately to lower the bacterial inoculum in the orchard.,"Procure only certified disease-free nursery stock, Implement rigorous scouting and monitoring for Asian citrus psyllids, Manage alternative citrus hosts, including ornamental citrus and weeds, Maintain proper nutrient management to improve tree vigor against stress"
Citrus,"decay of bark on trunk near ground, amber-colored gum exuding from cracks (gummosis)",Phytophthora Gummosis,Citrus Gummosis,Severe,0.95,Phytophthora species (Oomycetes),Partial,0.0,"Application of copper-based fungicides, Pruning and removal of infected bark/wood, Improving soil aeration and drainage","Phosphonate-based fungicides (e.g., potassium phosphite), Metalaxyl-M applications",Remove all mulch and organic debris from the base of the trunk to ensure the root flare stays dry.,"Maintain proper soil drainage to avoid waterlogging, Avoid physical wounding of the trunk during maintenance, Implement controlled irrigation to prevent excessive moisture near the trunk, Use disease-resistant citrus cultivars"
Cocoa,"brownish-black necrotic lesions on pods (black pod), white powdery mold under humid conditions",Black Pod Disease,Black Pod Disease,Severe,0.95,"Oomycete pathogens, primarily Phytophthora palmivora, which thrive in high humidity and frequent rainfall.",Exact,100.0,"Removal and deep burial of infected pods, Application of copper-based organic fungicides, Use of Trichoderma-based biological control agents","Metalaxyl-M, Fosetyl-Al, Copper oxychloride",Prune infected branches and immediately remove all necrotic pods from the trees and the forest floor to prevent spore dispersal.,"Improve orchard ventilation through strategic pruning, Maintain adequate spacing between trees to reduce humidity, Implement efficient drainage to prevent waterlogged soil, Regularly monitor pods for early signs of discoloration"
Cocoa,"swelling of shoots and stems, mosaic patterns on leaves, red vein banding, vector mealybugs present",Swollen Shoot Virus,Cocoa Swollen Shoot Virus (CSSV),Severe,0.95,Cocoa Swollen Shoot Virus (CSSV) transmitted by mealybug vectors (Pseudococcidae),Exact,100.0,"Biological control of mealybugs using predatory insects such as Cryptolaemus montrouzieri, Application of neem oil to suppress mealybug populations, Strict sanitation and sterilization of pruning tools","Application of systemic insecticides to control mealybug vectors, Use of contact insecticides for localized mealybug outbreaks",Rogue and completely destroy all infected plants and symptomatic surrounding vegetation to prevent further viral spread.,"Use of certified virus-free planting materials, Regular monitoring of orchards for mealybug populations and early symptom detection, Integrated pest management (IPM) to control mealybug vectors, Maintaining orchard hygiene and avoiding movement of infected plant parts"
Coconut,"progressive yellowing and wilting of lower leaves, premature drop of nuts, blackening of bud tissue with foul odor",Bud Rot,Bud Rot,Critical,0.95,Phytophthora palmivora (Oomycete),Exact,100.0,"Application of Bordeaux mixture to the affected bud area, Use of neem-based sprays, Removal and deep burial or burning of infected plant debris","Systemic fungicides containing Metalaxyl or Mancozeb, Copper-based fungicides applied directly to the crown",Carefully excise the necrotic/rotted bud tissue and immediately apply a concentrated fungicide to the exposed tissue to prevent complete crown death.,"Improve field drainage to prevent waterlogging around the root zone, Ensure proper spacing between trees to enhance air circulation, Avoid physical damage to the crown during harvesting or pruning, Regularly monitor the growing point for any discoloration or unusual odors"
Coffee,"sunken, dark brown necrotic spots on berries, causing berry drop and black beans",Coffee Berry Disease,Coffee Berry Disease (CBD),Severe,0.98,Colletotrichum kahawae,Exact,100.0,"Copper-based fungicides, Sanitation of fallen berries, Pruning to increase airflow","Copper oxychloride, Propineb, Azoxystrobin",Remove and destroy all infected berries and berry drop to reduce inoculum levels.,"Maintain adequate spacing between plants, Ensure proper pruning for ventilation, Regular monitoring of berry development, Sanitize tools used during pruning"
Coffee,"orange powdery spots on the undersides of leaves, causing defoliation",Coffee Leaf Rust,Coffee Leaf Rust (Hemileia vastatrix),Severe,0.98,Fungal pathogen Hemileia vastatrix,Exact,100.0,"Copper-based fungicides, Neem oil application, Pruning of heavily infected branches","Copper oxychloride, Propiconazole, Hexaconazole",Prune and remove infected foliage to reduce spore load and improve canopy aeration.,"Cultivate rust-resistant coffee varieties, Ensure proper plant spacing to maximize airflow, Manage fertilization to avoid excessive nitrogen, Maintain field sanitation by removing fallen leaves"
Corn,"leaf flecking, small powdery reddish-brown pustules on both leaf surfaces",Common Rust,Common Rust,Moderate,0.98,Puccinia sorghi (fungus),Exact,100.0,"Crop rotation with non-host crops, Improved plant spacing to enhance airflow, Use of resistant hybrids","Triazole-based fungicides, Strobilurin-based fungicides",Monitor pustule density and apply fungicides immediately if symptoms spread rapidly to prevent significant yield loss.,"Planting disease-resistant corn varieties, Implementing a strict crop rotation schedule, Managing nitrogen fertilization to avoid excessive lush growth, Optimizing planting dates to avoid peak moisture periods"
Corn,"galls on ears, tassels, and leaves that rupture to release black, powdery spores",Corn Smut,Corn Smut,Moderate,0.98,Ustilago maydis (fungus),Exact,100.0,"Removal and destruction of infected plant parts, Crop rotation, Planting resistant varieties","Preventative fungicide applications, Treated seed use",Immediately remove and burn or bury all infected ears and galls to prevent the release of spores.,"Select corn hybrids with resistance to smut, Minimize mechanical injury to corn plants, Practice effective crop rotation, Manage nitrogen levels to prevent excessive plant vigor that attracts infection"
Corn,"narrow gray-to-tan rectangular lesions on leaves running between veins, forming a blocky pattern",Gray Leaf Spot,Gray Leaf Spot,Moderate,0.98,Cercospora zeae-maydis (fungus),Exact,100.0,"Crop rotation with non-host species, Removal or burial of infected crop residue, Utilization of resistant corn hybrids","Fungicides containing Strobilurins, Triazoles, Azoxystrobin-based applications",Monitor field humidity and canopy moisture; apply preventative fungicide if symptoms appear early in the season.,"Rotate crops to break the pathogen life cycle, Avoid excessive nitrogen application which promotes dense, moist canopies, Plant resistant hybrids specifically bred for Gray Leaf Spot resistance, Manage field drainage to reduce moisture retention"
Corn,"long, narrow, tan-colored lesions on leaves running parallel to veins, looks like matchsticks",Northern Corn Leaf Blight,Northern Corn Leaf Blight,Moderate,0.98,Exserohilum turcicum,Exact,100.0,"Crop rotation with non-host crops, Removal and destruction of infected crop residue, Use of resistant corn hybrids","Application of strobilurin-based fungicides, Application of triazole fungicides",Assess the extent of leaf coverage and apply fungicide if the disease is in the early stages of development.,"Planting resistant varieties, Implementing a strict crop rotation schedule, Managing nitrogen fertilization to prevent excessive lush growth, Ensuring proper plant spacing for improved aeration"
Cotton,"angular, water-soaked lesions on leaves, stems (blackarm), and bolls, causing boll rot",Bacterial Blight,Angular Leaf Spot (including Black Arm and Boll Rot),Severe,0.98,Xanthomonas citri pv. malvacearum (bacterium),Mismatch,0.0,"Application of copper-based bactericides, Removal and destruction of infected plant debris, Crop rotation with non-host species","Copper hydroxide sprays, Copper sulfate treatments, Antibiotic-based bactericides (where legally permitted)",Immediately remove and destroy heavily infected plants and debris to prevent further bacterial spread via wind or water splash.,"Plant resistant cotton varieties, Utilize certified pathogen-free seeds, Implement strict crop rotation schedules, Manage irrigation to avoid overhead watering and excessive leaf wetness, Maintain proper plant spacing to improve airflow and reduce humidity"
Cotton,"interveinal yellowing and wilting of leaves, brown discoloration of internal stem/vascular tissues when cut",Fusarium Wilt,Fusarium Wilt,Severe,0.92,"Fungal pathogen Fusarium oxysporum f. sp. vasinfectum which colonizes the plant's xylem, obstructing water transport.",Exact,100.0,"Crop rotation with non-host species (e.g., cereals or legumes), Soil solarization to reduce fungal inoculum, Use of bio-control agents like Trichoderma species","Fungicide soil drenches (preventative use only), Thiophanate-methyl applications",Roguing and destroying all infected plants immediately to prevent the spread of spores through soil and water.,"Planting disease-resistant cotton varieties, Utilizing certified disease-free seeds, Ensuring proper field drainage to avoid waterlogging, Maintaining soil health and avoiding excessive nitrogen fertilization"
Cotton,"interveinal chlorosis, wilting, dark streaks in vascular stem, bronze wilt of leaves",Verticillium Wilt,Fusarium Wilt,Severe,0.95,Fusarium oxysporum f. vasinfectum,Mismatch,0.0,"Soil solarization, Crop rotation with non-host crops, Application of Trichoderma-based bio-fungicides","Thiophanate-methyl, Prochloraz",Roguing and destruction of infected plants to minimize inoculum load.,"Use resistant cultivars, Ensure proper field drainage to prevent anaerobic conditions, Avoid excessive nitrogen fertilization, Implement long-term crop rotation cycles"
Cucumber,"small water-soaked spots on leaves that turn brown and fall out, leaving angular holes, white crust on fruit",Angular Leaf Spot,Downy Mildew,Severe,0.95,Pseudoperonospora cubensis (Oomycete),Mismatch,0.0,"Copper-based fungicides, Neem oil application, Removal of infected plant material","Mancozeb, Metalaxyl, Cyazofamid",Remove and destroy all heavily symptomatic leaves and plants to minimize spore dispersal.,"Use resistant cucumber cultivars, Implement crop rotation with non-host plants, Avoid overhead watering to keep foliage dry, Ensure adequate plant spacing for improved airflow"
Cucumber,"angular chlorotic lesions on upper leaf surfaces, purplish downy mold on leaf undersides",Downy Mildew,Downy Mildew,Moderate,0.98,Pseudoperonospora cubensis,Exact,100.0,"Copper-based fungicides, Bacillus subtilis, Potassium bicarbonate","Mancozeb, Metalaxyl, Cyazofamid",Prune and destroy heavily infected leaves immediately to reduce inoculum load.,"Avoid overhead irrigation to keep foliage dry, Ensure adequate plant spacing for air circulation, Use resistant cucumber cultivars, Implement drip irrigation to manage soil moisture"
Cucumber,"white powdery patches on leaves and stems, leaves yellowing and drying out",Powdery Mildew,Powdery Mildew,Moderate,0.98,"Fungal pathogens, most commonly Podosphaera xanthii or Golovinomyces cichoracearum.",Exact,100.0,"Neem oil spray, Potassium bicarbonate solution, Milk and water mixture (1:9 ratio), Sulfur-based organic fungicides","Myclobutanil, Chlorothalonil, Azoxystrobin",Prune and remove heavily infected leaves to reduce spore load and improve airflow.,"Improve air circulation through proper plant spacing, Avoid overhead irrigation to keep foliage dry, Apply mulch to reduce soil-borne spore splashing, Plant disease-resistant varieties, Maintain optimal humidity levels in greenhouses"
Fig,"small yellow-orange spots on leaves that turn brown, causing leaf drop, rusty appearance on leaf underside",Fig Rust,Fig Rust,Moderate,0.92,Fungal pathogen (typically species within the Pucciniaceae family),Exact,100.0,"Remove and destroy heavily infected leaves, Apply neem oil as a preventative and curative, Use copper-based organic fungicides","Apply myclobutanil-based fungicides, Apply propiconazole-based fungicides",Prune away infected branches and clear all fallen leaves from the base of the plant to prevent spore re-infection.,"Increase spacing between plants to improve airflow, Avoid overhead irrigation to keep foliage dry, Practice proper sanitation by cleaning pruning tools with alcohol, Maintain plant vigor through balanced fertilization"
Garlic,"yellowing and wilting of leaves starting from tips, root decay, pinkish-white mold at stem plate",Fusarium Basal Rot,Neck Rot,Severe,0.92,"Fungal infection caused by Botrytis allii, typically thriving in moist, cool conditions.",Mismatch,0.0,"Remove and burn infected plant material, Improve soil aeration and drainage, Apply beneficial microbes like Trichoderma species","Apply fungicide containing prochloraz, Use thiophanate-methyl during early infection stages",Isolate and destroy all symptomatic plants and debris to prevent fungal spore dispersal.,"Rotate crops with non-Allium species for at least 3 years, Ensure adequate spacing between plants for air circulation, Use certified pathogen-free garlic cloves for planting, Avoid excessive nitrogen application which promotes soft tissue"
Garlic,"white fluffy mycelium at bulb base, tiny black sclerotia on roots, rotting of bulb",White Rot,Allium White Rot,Critical,0.98,Sclerotium cepivorum (fungus),Exact,100.0,"Long-term crop rotation with non-host crops (minimum 7-10 years), Soil solarization to reduce sclerotia density, Complete removal and deep burial of infected plant material","Seed/bulb treatments with fungicides, Soil-applied fungicides (limited efficacy once established)","Immediately remove all infected plants, including roots and surrounding soil, and destroy them via incineration to prevent the spread of sclerotia.","Use only certified pathogen-free garlic cloves/seeds, Sanitize all gardening tools and equipment between uses, Avoid planting Allium species in known infested areas, Ensure proper soil drainage to prevent excess moisture"
Grapevine,"yellowish-green oily spots on upper leaf surfaces, white downy mold growth on lower leaf surfaces",Downy Mildew,Downy Mildew,Moderate,0.98,Plasmopara viticola (Oomycete),Exact,100.0,"Copper-based fungicides, Bacillus subtilis applications, Potassium bicarbonate","Metalaxyl-M, Fosetyl-Al, Mancozeb",Remove and destroy symptomatic leaves and improve canopy ventilation to reduce humidity.,"Ensure proper vine spacing for airflow, Avoid overhead irrigation to prevent leaf wetness, Select resistant cultivars, Implement timely fungicide applications based on disease forecasting models"
Grapevine,"stunted shoots, zig-zag growth, leaf mottling, fan-like leaf deformation, vector nematodes present",Grapevine Fanleaf Virus,Grapevine Fanleaf Virus (GFLV),Severe,0.98,Grapevine Fanleaf Virus (GFLV) transmitted by the dagger nematode (Xiphinema index),Exact,100.0,"Roguing: prompt identification and removal of symptomatic vines, Crop rotation with non-host plants to reduce nematode populations, Soil solarization to reduce nematode density","Application of nematicides to target Xiphinema index, Soil fumigation during vineyard establishment",Identify all infected vines and immediately remove and destroy them (incineration preferred) to prevent further spread by nematode vectors.,"Use only certified virus-free planting material, Implement strict quarantine and movement controls for soil and plant material, Select nematode-resistant rootstocks, Regular monitoring of soil for Xiphinema index presence"
Grapevine,"powdery white-to-gray fungal growth on leaves, shoots, and berries, splitting of berries",Powdery Mildew,Powdery Mildew,Severe,0.98,Erysiphe necator (ascomycete fungus),Exact,100.0,"Sulfur-based fungicides, Potassium bicarbonate, Neem oil, Biological control agent Ampelomyces quisqualis","Myclobutanil, Fenarimol, Azoxystrobin, Tebuconazole",Prune and destroy infected foliage and shoots; apply a curative fungicide to protect remaining healthy tissue.,"Maintain proper canopy management to increase airflow and sunlight penetration, Ensure adequate spacing between vines, Avoid excessive nitrogen fertilization which promotes dense foliage, Select mildew-resistant grape varieties, Regular monitoring and early intervention"
Guava,"dark brown to black necrotic lesions on leaves and fruit, mummification of fruit",Anthracnose,Anthracnose,Severe,0.95,Colletotrichum gloeosporioides,Exact,100.0,"Pruning and destroying infected plant parts, Application of Neem oil, Removal of fallen/mummified fruits","Copper-based fungicides, Mancozeb, Azoxystrobin",Collect and burn all mummified fruits and infected leaf litter to eliminate the fungal source.,"Maintain adequate tree spacing for air circulation, Avoid overhead watering to minimize moisture on leaves and fruit, Sanitize pruning tools regularly, Apply preventative fungicides during the flowering stage"
Lettuce,"irregular chlorotic spots on leaves, turning brown and necrotic, dark brown margins",Anthracnose,Bacterial Leaf Spot,Moderate,0.85,Xanthomonas campestris pv. campestris,Mismatch,0.0,"Manual removal and destruction of infected leaves, Application of copper-based organic-approved sprays, Use of neem oil","Copper-based bactericides, Streptomycin or other antibiotic-based treatments",Remove and destroy all symptomatic plants immediately to prevent the bacterial pathogen from spreading to healthy tissue via water splash or wind.,"Implement a 3-4 year crop rotation cycle, Use only certified pathogen-free seeds, Utilize drip irrigation instead of overhead sprinklers, Ensure adequate plant spacing to improve airflow and reduce humidity"
Lettuce,"water-soaked lesions on lower leaves near soil, fuzzy white mold growth, black sclerotia inside stem",Lettuce Drop,Sclerotinia Stem Rot (White Mold),Severe,0.95,Fungal pathogen Sclerotinia sclerotiorum,Partial,0.0,"Remove and destroy all infected plant debris and sclerotia, Use biological control agents such as Coniothyrium minitans, Improve soil drainage to reduce moisture levels","Apply fungicides containing Boscalid or Fludioxonil, Use preventative fungicide applications if environmental conditions are conducive",Immediately remove and incinerate all symptomatic plants and surrounding vegetation to prevent the dispersal of fungal spores and sclerotia.,"Implement a multi-year crop rotation schedule avoiding brassicas and other susceptible hosts, Use drip irrigation instead of overhead sprinklers to keep foliage dry, Maintain optimal plant spacing to ensure adequate airflow, Manage soil moisture levels to prevent waterlogging"
Mango,"dark, sunken, irregular lesions on leaves, flowers, and fruit, causing blossom drop and post-harvest rot",Anthracnose,Anthracnose,Severe,0.98,Fungal pathogen Colletotrichum gloeosporioides,Exact,100.0,"Neem oil applications, Application of Bacillus subtilis, Pruning of heavily infected branches","Carbendazim, Mancozeb, Azoxystrobin","Remove and destroy all infected leaves, flowers, and fallen fruit to reduce the spore load in the orchard.","Maintain strict orchard sanitation by removing plant debris, Ensure adequate spacing between trees for improved air circulation, Avoid overhead irrigation to prevent moisture retention on foliage, Apply preventative copper-based fungicides during the flowering stage"
Mango,"white powdery growth on flower panicles, flowers turn brown and dry up without setting fruit",Powdery Mildew,Powdery Mildew,Moderate,0.95,Fungal pathogen Oidium mangiferae,Exact,100.0,"Neem oil application, Sulfur-based organic sprays, Potassium bicarbonate","Wettable sulfur, Myclobutanil, Dinocap",Prune and destroy heavily infected flower panicles to reduce spore spread.,"Maintain proper orchard spacing for airflow, Prune canopy to increase sunlight penetration, Avoid excessive nitrogen fertilization which promotes succulent growth, Sanitize orchard tools after use"
